,commentary
19,"Travis Head | Player of the Match - 137(120): Never expected this, not in a million years, truly an exceptional day. Lot better than sitting on the couch at home. Really glad to contribute, the first twenty balls I played gave me a lot of confidence and yea I was able to carry through. The way Mitch Marsh came out and took the game on, he set the tone. That was the energy we wanted and we knew the wicket may get tough. It was a great decision to bowl first after winning the toss. I felt the wicket got better as the day went on. It took a little bit of spin, it paid dividends. Nice to be a part of it, nice to play a role in all of that. He’s (Rohit Sharma) probably the unluckiest man in the world. Again, it's (fielding) something that I worked hard on. I couldn't imagine getting a hundred, couldn't probably imagine holding onto that one. Was great to hold on to that catch. Important to look after your team-mates, to be able to do that on the big stage in front of a full house is a nice thing. (On joining the list of centurions in WC finals - Ricky Ponting, Adam Gilchrist and Head) Definitely third on that list, it's a nice one to join, nice to be here and nice to contribute. I'll just tell the boys that I'm looking forward to the reunion."
20,"Adam Zampa: Interesting to see the strategy today. Winning the toss and bowling, we knew it would spin and it would be difficult to score runs. The Cummins spell was a bit of a gamechanger, and the bowling innings was pretty much unbelievable today. We knew the wicket was getting better to bat and that’s when we started getting more confident."
21,"Mitchell Starc: He (Cummins) was phenomenal, he's been phenomenal all tournament in his decision making, his leadership. At times, he had to step up with the ball when it's been a bit flat. Capped off an unbelievable eight weeks for this group. I haven't got any words left. Between Pat, Ron (Andrew McDonald) and all our coaching staff, all our players across formats, it's been an incredible winter. I don't think you could write a script to top the win that we've had. To win a World Cup in India, it's been a fantastic eight weeks . Bloody successful and bloody enjoyable."
22,"Steve Smith: Incredible feeling! Atmosphere was amazing today. Great performance from the team. The bowlers set the tone, fielding was great. Travis Head - the show he put on was incredible. Took the game on and Marnus played another unbelievable knock and played a great supporting role. Wasn't the ideal start for us (with bat) but we had the belief and we have got a good group of players. We had a poor start and then had to get into the top four - Australia typically plays well in those moments. It has been a pretty big year for us winning the Test championship and this. Yeah, it was pretty good fun."
23,"Mitch Marsh: Pure elation right now. Been the hardest 8 weeks of cricket I was a part of. To be here with this group, it feels unbelievable."
24,"Josh Hazlewood: This is bigger (than 2015). We won at home in front of our home fans but the challenges that we've been through in the last couple of months, coming here, playing in these conditions against India which is a pretty special team. To win on a day like this is amazing. Such a great crowd, Indian fans are second to none, a few started to leave towards the end, amazing crowd. That's just the belief in the squad. Just got on a run and tonight it's the perfect game, we put it together when it counted."
25,"Glenn Maxwell: (On winning shot) Bit of a slog but it feels amazing, we were all excited when it got back down to 20 runs. I resigned myself to the fact that I wouldn’t have to bat like 2015, but obviously Heady got out and I had to go out there and finish the job. It is a bit different when you see Head take on Bumrah, I got a taste of my own medicine. Head was phenomenal and Marnus was second to none. It was an unbelievable partnership."
26,"David Warner: Our bowlers were fantastic, they set the tone from ball one. The fielding supported that. To bowl India out for 240 in a final is absolutely exceptional. There was a bit of nervous energy in the change room. We kept changing places. But that was a brilliant partnership between Marnus (Labuschagne) and Trav (Head). What a comeback that was from Head, especially after coming back from injury, that was fantastic."
27,"Marnus Labuschagne: Oh mate! What we've achieved today is unbelievable, the best achievement I have been part of. To come to India. They were 10 from 10 with one to play with. They (India) have been unbelievable. Our bowlers have been sensational and Travis put on a hell of a show. I know I am a man of faith and believe in God. How things have panned out for me, unbelievable. I am lost for words. Very thankful to the coaches for sticking with me. To play 19 games straight from South Africa. big thanks to God for that."
28,"As is the case, lots of winning players being interviewed. We will have every one of them here. Starting with Marnus."
29,"21:40 local, 16:10 GMT, 21:40 IST: Three boundaries in the first over. A chance missed first ball. Warner edging the widest of wide balls against Shami's first legal ball of the second over. Marsh nicking Bumrah's hit-me ball to the keeper and Smith deciding against a review a couple of overs later. 47/3 at the end of 7 overs and every Indian supporter got excited, for obvious reasons of course, given the form of Shami and Bumrah. Travis Head was happy to wade through that difficult phase and once he found an able ally in Labuschagne, there was no looking back. The duo kept the scoreboard ticking with plenty of singles and engineered a match-winning partnership to put their team on the brink of a victory with a 192-run stand. While Head's confidence grew with each passing over, Marnus was content to play second fiddle and blunt out a couple of dangerous spells from the Indian seamers. Travis Head started the spark with a brilliant catch to dismiss Rohit Sharma in the first innings and he carried that unassailable spirit with the bat to compose one of the best knocks in a World Cup final you'd ever see. Marnus might have played the silent killer role today, but anyone who'd followed the Australian campaign thoroughly would confess that Marnus perhaps deserves to be the team's Player of the Series for his crucial contributions at various stages over the past couple of months. Set the standards with the field, dried out the boundaries, removed set batters at vital junctures and didn't panic despite losing their top three inside 7 overs. That is brand Australia for you. Giving up is just not an option for them."
30,"21:31 local, 16:01 GMT, 21:31 IST: Write off Australia at your own peril. You pack them in a casket and bury them in the depths of despair, they would still find a way to spring up towards the skies, akin to a seed sprouting out of soil. Lost their first couple of games and looked in a state of cluelessness at various stages of this World Cup. But come the final, they managed to compile all those pieces together to complete a comprehensive win against India. By doing that, they have also broken the trend of the home team winning the World Cup. India started in 2011 and the team from Down Under put that record to bed tonight."
31,"The winning moment: As soon as Maxwell completed one-and-a-half runs, he was roaring in joy and out came the Aussies running on to the field to hug and celebrate. KL Rahul is on his haunches while Siraj is in tears. KL and others try to console Siraj. Then the customary handshakes follow as the fireworks light up over the Narendra Modi Stadium. After the handshakes are done, the Indians head back inside with Bumrah spotted waving to the Indian fans who clap in appreciation. Also one saw Kohli cover his face with a cap, while Rohit walked back inside head bowed down.

The eagle-eyed Deepu Narayanan - our statsman, with this: Maxwell hit the winning run in 2021 T20 WC finals vs NZ in Dubai."
33,"Siraj to Maxwell, 2 runs, thrashed away to the right of deep square, Kuldeep fumbles and tumbles, but it is Australia that have risen tall from the Ashes. Sixth title in the last 10 editions of the ODI World Cup. Australia, the mighty mighty Australia. CHAMPIONS 2023 Australia. Inglis wins the running race as the rest of his mates join him in hugging the onfield batting pair of Maxwell and Labuschagne. KL Rahul is on his knees, he does not want to leave the field. Virat Kohli looks like a man in shock. Siraj is in tears. Bumrah tries to console him. Rohit Sharma is busy congratulating Australia and displaying true sportmanship while at it. Rahul Dravid now walks out to greet the Aussies. Aaron Finch, the former skipper, is out in the centre and one can spot great amount of joy among the group. A couple of the Australian players are still soaking it up whilst letting out tears of tenacity and hope. The celebrations, as you might have guessed, are not gonna end anytime soon. The night is still young and it's gonna stay that away for the best part of the next few hours for every Australian supporter across the world. Invincible. Incredible. Indomitable. Unyielding. Bloody-minded. You can try and try - to find the apt words to describe the brilliance of Australia, the sporting nation and bet, you'd still fall short of adjectives to detail the wonders the country continues to churn in the field of sport. Gee, let that all sink in for a moment..."
34,Anti-climactic that as Head holes out and good to see KL Rahul and Bumrah shake hands with Head and applaud that effort. Head walks back tongue sticking out to a well-deserved standing ovation.
35,"Glenn Maxwell, right handed bat, comes to the crease"
36,"Siraj to Head, out Caught by Shubman Gill!! Oh dear! Finally, something to cheer about for the Indian fans. Virat Kohli is clapping in admiration. KL Rahul shows some glove-love. Rohit walks up to Head and congratulates him. Ladies and gents, stand up and applaud - does not matter which part of the globe you belong. We have just witnessed one of the best knocks in a World Cup final. It was short and Head sensed an opportunity to smash that for a maximum, hit the pull shot flat and found Shubman Gill to his right at deep mid-wicket. Head c Shubman Gill b Siraj 137(120) [4s-15 6s-4]"
37,"Siraj to Head, THATS OUT!! Caught!!"
38,The Aussie dugout is ready to storm into the field. Just 2 runs away...
39,"Siraj to Labuschagne, 1 run, fullish on off-stump, Labuschagne looks to drive and gets a thick inside edge to deep square"
40,"Siraj to Head, 1 run, full ball on the stumps, Head toe-ends the drive to the right of mid-on and rushes across for a quick single"
41,"Siraj to Head, FOUR, lifted that over mid-off did Travis Head. Sees the short ball outside off and he's slapped it over the fielder with an air of calmness"
42,"Siraj to Head, 2 runs, short outside off, Head clears his front leg and slogs it into the gap between deep mid-wicket and long-on"
43,92453 - attendance today!
45,"Bumrah to Labuschagne, no run, fuller and just outside off, Labuschagne pushes it to the left of Kohli at cover"
46,"Bumrah to Labuschagne, no run, the attempted yorker that ends up as a low full toss just outside off, Labuschagne mistimes the drive to mid-off"
47,"Bumrah to Labuschagne, no run, back of a length angled in on the stumps, Labuschagne flicks it to the right of SKY at square leg"
48,"Bumrah to Labuschagne, no run, good length just outside off, Labuschagne punches it back down the pitch to the right of mid-off"
49,"Bumrah to Labuschagne, no run, good length on the stumps, Labuschagne flicks it to the right of mid-wicket"
50,"Bumrah to Head, 1 run, ""two two two"" was the call from Travis Head as soon as he smacked the ball to the right of long-on, but the fielder was quick to get to the ball and that left the batters with no choice but to settle for a single"
51,"The Aussie players have all gathered in the dugout, they're waiting to burst on to the field as soon as the winning runs are struck. It's all starting to feel very real now as is the feeling of dejection and disappointment for the 130,000-odd Indians at the ground."
53,"Siraj to Labuschagne, no run, full and just outside off, Labuschagne makes room and hits the drive firmly, still can't beat cover"
54,"Siraj to Labuschagne, no run, cross-seam full length outside off, Labuschagne opens the bat face and blocks it to cover"
55,"Siraj to Labuschagne, no run, full and just outside off, Labuschagne times the drive but can't get it past the man at mid-off"
56,"Siraj to Labuschagne, FOUR, that sat up on a short length and begged to be bashed. Labuschagne obliges with a ruthless pull to the fine leg fence. Mitch Marsh is chuffed to bits and he is screaming his lungs out in joy from the dugout..."
57,"Siraj to Labuschagne, no run, full and just outside off, Labuschagne drives and finds the fielder at mid-off"
58,"Siraj to Head, 1 run, short outside off, Head heaves the pull off the inside half to deep mid-wicket"
59,STAT: This is now the highest partnership for any wicket against India this World Cup surpassing 181 between Williamson & Mitchell in the semifinal.
62,"Bumrah to Labuschagne, FOUR, fifty up for Marnus Labuschagne, but given the context of the game it should feel like a 100 to him. Gets there with a lovely flick off his legs, just picked the line early and sent it racing to the deep mid-wicket fence. Round of applause from the Australian dugout follows..."
63,"Bumrah to Labuschagne, no run, full outside off, Labuschagne pushes the drive to the left of cover"
64,"Bumrah to Labuschagne, no run, good length outside off, Labuschagne blocks it into the covers"
65,"Bumrah to Labuschagne, no run, Bumrah delivers the inch-perfect yorker and Labuschagne seems to have squeezed it off the toe end to mid-wicket. A casual query from Rohit about the review and none of them seem interested..."
66,"Bumrah to Head, 1 run, Bumrah goes round the wicket and sprays it at the pads, Head slogs it off the cue end to the right of deep square leg"
67,"Bumrah to Labuschagne, 1 run, this is now the second highest partnership in a final. Labuschagne opens the bat face and steers the back of a length delivery down to third man"
68,Jasprit Bumrah [7.0-2-36-2] is back into the attack
69,"Rohit Sharma is trying his bestest to stay calm and not display too many emotions. The DJ is trying his best to cheer up the crowd, but the response - very timid and brief..."
71,"Siraj to Labuschagne, 1 run, short and wide of off stump, Labuschagne pulls to the right of deep mid-wicket"
72,"Siraj to Head, 1 run, Travis Head is bored right now. He is just swinging like a wood chopper. A fuller ball at the pads and he's bashed that away to deep mid-wicket with an air of nonchalance"
73,"Siraj to Labuschagne, 1 run, on a length and curling into the pads, easy flick round the corner for Labuschagne. A single to deep square takes him to 47..."
74,"Siraj to Labuschagne, no run, pitched up outside off, Labuschagne drives and picks out the fielder at mid-off"
75,"Siraj to Head, 1 run, full at the pads, Head biffs it down to long-on"
76,"Siraj to Labuschagne, 1 run, Siraj hurls it short and wide of off, Labuschagne heaves the pull to deep mid-wicket"
77,Kohli wears a glum look on his face. Stoinis and Carey amble out to the centre with drinks. Indian fielders dispersing to their respective fielding positions and it all appears to be in slow motion right now...
78,STAT: This is the first instance of India spinners going wicketless in a match this World Cup.
79,"After 37.3 six, the camera panned to Kohli who just shook his head!"
81,"Kuldeep Yadav to Labuschagne, 1 run, fuller on off, Labuschagne flicks it to the right of mid-wicket"
82,"Kuldeep Yadav to Head, 1 run, short outside off, Head cuts it neatly to the fielder at sweeper cover"
83,"Kuldeep Yadav to Head, no run, quicker and just outside off, Head is happy to bunt it into the off-side"
84,"Kuldeep Yadav to Head, SIX, wake up South Australia! Your boy is making you and the whole of Australia mighty proud. Fuller on off-stump, Head kneels down on one knee and smokes the slogsweep into the mid-wicket orbit..."
85,"Kuldeep Yadav to Labuschagne, 1 run, Labuschagne punches off the back foot and beats the diving fielder at mid-wicket to his left"
86,"Kuldeep Yadav to Head, 1 run, fuller on middle and leg, a casual clip to square leg. Too easy for Travis Head and Australia right now..."
88,"Siraj to Head, 1 run, short and wide of off, Head drags the pull off the thick inside half to the fielder at deep square"
89,"Siraj to Head, no run, short outside off, Head hops and fails to get bat on the attempted ramp. Pinch yourself because Travis Head has actually failed to put bat to ball."
90,"Siraj to Head, no run, full on the stumps, Head drills it to the fielder at mid-on. Got it more off the cue end..."
91,"Siraj to Head, SIX, Travis Head has sent that into the Adelaide Oval, his home ground. He stood back, waited for the short ball and belted the bones out of the pull shot. Sent it packing into the mid-wicket stands..."
92,"Siraj to Labuschagne, 1 run, 150 run partnership comes as Labuschagne punches it to deep cover"
93,"Siraj to Head, 1 run, dug in short on the stumps, Head drags the pull to the left of deep square leg"
94,Mohammed Siraj [3.0-0-16-0] is back into the attack
95,"""No choice now for India,"" says Sanjay Manjrekar, on air, as Siraj steams in for his 4th over..."
97,"Kuldeep Yadav to Head, 1 run, spins away from a fullish length outside off, Head punches crisply to sweeper cover"
98,"Kuldeep Yadav to Head, no run, ""can't see India doing anything that can stop Australia at the moment"" words from Indian legend Sunny G as Head punches this to cover"
99,"Kuldeep Yadav to Labuschagne, 1 run, full on off-stump, Labuschagne drives firmly to long-off"
100,"Kuldeep Yadav to Labuschagne, no run, fuller outside off, Labuschagne prods forward and blocks to cover"
101,"Kuldeep Yadav to Labuschagne, no run, touch quicker and drifting into middle and off, Labuschagne flicks and finds mid-wicket"
102,"Kuldeep Yadav to Head, 1 run, flatter and shorter outside off, Head leans on the back foot and slaps it to deep cover"
103,"Thank you the 'cool as a cucumber' Abhinand R. Looks like it is just a matter of time before Australia lift their 6th title in ODI World Cups. And as you may have guessed, there is an air of poignant silence among the crowd right now...."
104,"Over to Raju Peethala, our finisher!"
106,"Jadeja to Labuschagne, no run, wicketless outing for Jadeja! Non-turner, Labuschagne pushes to cover"
107,"STAT: Eighth century for Australia in WC 2023, joint-most with Sri Lanka in the 2015 edition. Only South Africa in 2023 has had more."
108,"Jadeja to Labuschagne, no run, pushed back to the bowler"
109,Head 100 moment: Direct-hit and Head was gone for 99. He took on Jadeja too who rarely misses. Head had given up too. But he gets to 100 and gets a standing ovation from his mates and deathly silence from the pro-Indian crowd. Celebrates his landmark by closing his palms and making a gesture to the Aussie camp. Head joins a legendary list of batters who have a 100 in a World Cup final.
110,"Jadeja to Head, 1 run, driven through extra cover"
111,"Jadeja to Head, no run, full delivery, drilled straight to mid-off"
112,"Jadeja to Head, no run, punches straight to cover"
113,"Jadeja to Head, SIX, fullish outside off, Head shuffles, gets down on one leg and nails the slogsweep to dispatch it over deep mid-wicket. Right off the meat of the bat"
115,"Kuldeep Yadav to Labuschagne, no run, forward and blocked"
117,"Kuldeep Yadav to Head, 1 run, match-winning ton in the WTC final against India, match-winning ton in the ODI World Cup now! Take a bow, Travis Head! He missed the first five matches as he had suffered a fracture on his left hand. Australia backed him and picked him for the WC squad and he's proved why. Pushed the legbreak to the right of point and set off for a risky single. In fact, a direct-hit would have been curtains for him. But Jadeja misses the target and Head is in. It's been his day. A screamer to dismiss Rohit and now a ton..."
118,"Kuldeep Yadav to Head, no run, flighted ball, pushed to backward point"
119,"Kuldeep Yadav to Head, 2 runs, turning away, slapped to the right of long-off"
120,"Kuldeep Yadav to Head, FOUR, mishit but four! Quicker and flatter, Head heaves it over mid-on. Didn't middle it, but gets enough elevation to clear mid-on"
121,"Kuldeep Yadav to Head, FOUR, Head shimmies down the track and brings his wrists into play to flick it over mid-wicket. Nicely done"
123,"Jadeja to Labuschagne, no run, goes back to cut and finds backward point"
124,"Jadeja to Labuschagne, no run, in-dart, chopped to backward point off the under-edge"
125,"Jadeja to Labuschagne, no run, stays leg-side of the ball and drives with an opened bat-face, finds short third man"
126,"Jadeja to Head, 1 run, gets down to slogsweep and drags it through mid-wicket off the inner edge"
127,"Jadeja to Head, no run, 94.2kph, spins in from a length, Head punches to cover"
128,"Jadeja to Labuschagne, 1 run, to long-off, full delivery, Labuschagne drives to long-off"
129,Prime Minister Narendra Modi is in attendance...
131,"Kuldeep Yadav to Head, no run, goes back in his crease to dab this length ball to short third man"
132,"Kuldeep Yadav to Head, no run, 94.9kph, loud appeal for lbw from Rahul, nothing from Kuldeep. Scrambled seam ball that skids off the deck. Head moves leg-side to force it through the off-side and ends up playing outside the line. Gets hit on the pads but that's missing leg. Perhaps even the impact might have been outside leg..."
133,"Kuldeep Yadav to Labuschagne, 1 run, 85.1kph, not much turn, Labuschagne gets forward to block and outside-halves it to backward point. Quick single taken"
