,venue,match_category,team_1,team_2,team_1_runs,team_1_wickets,team_2_runs,team_2_wickets,pom,world_cup_year,host_country,match_status,winning_team,best_batter_1,best_batter_1_runs,best_batter_2,best_batter_2_runs,best_baller_1,best_baller_1_wick,best_baller_2,best_baller_2_wick
0, Manchester,League-Match,CAN,ENG,45.0,0.0,46.0,2.0,Chris Old,1979,ENG,played,ENG,,0,,0,,0,,0
1, Lord's,League-Match,AUS,ENG,159.0,9.0,160.0,4.0,Graham Gooch,1979,ENG,played,ENG,,0,,0,,0,,0
2, Manchester,League-Match,SL,IND,238.0,5.0,191.0,0.0,Duleep Mendis,1979,ENG,played,SL,,0,,0,,0,,0
3, Nottingham,League-Match,PAK,AUS,286.0,7.0,197.0,0.0,Asif Iqbal,1979,ENG,played,PAK,,0,,0,,0,,0
4, Birmingham,League-Match,CAN,AUS,105.0,0.0,106.0,3.0,Alan Hurst,1979,ENG,played,AUS,,0,,0,,0,,0
5, Leeds,League-Match,ENG,PAK,165.0,9.0,151.0,0.0,Mike Hendrick,1979,ENG,played,ENG,,0,,0,,0,,0
6, The Oval,Semi-Final,WI,PAK,293.0,6.0,250.0,0.0,Gordon Greenidge,1979,ENG,played,WI,,0,,0,,0,,0
7, Manchester,League-Match,CAN,ENG,45.0,0.0,46.0,2.0,Chris Old,1979,ENG,played,ENG,,0,,0,,0,,0
8, Manchester,Semi-Final,ENG,NZ,221.0,8.0,212.0,9.0,Graham Gooch,1979,ENG,played,ENG,,0,,0,,0,,0
9, Nottingham,League-Match,SL,NZ,189.0,0.0,190.0,1.0,Geoff Howarth,1979,ENG,played,NZ,,0,,0,,0,,0
10, Leeds,League-Match,IND,NZ,182.0,0.0,183.0,2.0,Bruce Edgar,1979,ENG,played,NZ,,0,,0,,0,,0
11, The Oval,League-Match,SL,WI,0.0,0.0,0.0,0.0,,1979,ENG,abandoned,,,0,,0,,0,,0
12, The Oval,Semi-Final,WI,PAK,293.0,6.0,250.0,0.0,Gordon Greenidge,1979,ENG,played,WI,,0,,0,,0,,0
13, Lord's,Final,WI,ENG,286.0,9.0,194.0,0.0,Viv Richards,1979,ENG,played,WI,,0,,0,,0,,0
14, Birmingham,League-Match,IND,WI,190.0,0.0,194.0,1.0,Gordon Greenidge,1979,ENG,played,WI,,0,,0,,0,,0
15, Leeds,League-Match,CAN,PAK,139.0,9.0,140.0,2.0,Sadiq Mohammad,1979,ENG,played,PAK,,0,,0,,0,,0
16, Nottingham,League-Match,WI,NZ,244.0,7.0,212.0,9.0,Clive Lloyd,1979,ENG,played,WI,,0,,0,,0,,0
17, Visakhapatnam,League-Match,AUS,KENYA,304.0,7.0,207.0,7.0,Mark Waugh,1996,IND,played,AUS,,0,,0,,0,,0
18, Rawalpindi,League-Match,SA,UAE,321.0,2.0,152.0,8.0,Gary Kirsten,1996,PAK,played,SA,,0,,0,,0,,0
19, Mohali,Semi-Final,AUS,WI,207.0,8.0,202.0,0.0,Shane Warne,1996,IND,played,AUS,,0,,0,,0,,0
20, Karachi,League-Match,WI,SA,264.0,8.0,245.0,0.0,Brian Lara,1996,PAK,played,WI,,0,,0,,0,,0
21, Faisalabad,League-Match,NZ,UAE,276.0,8.0,167.0,9.0,Roger Twose,1996,PAK,played,NZ,,0,,0,,0,,0
22, Vadodara,League-Match,NZ,NED,307.0,8.0,188.0,7.0,Craig Spearman,1996,IND,played,NZ,,0,,0,,0,,0
23, Jaipur,League-Match,AUS,WI,229.0,6.0,232.0,6.0,Richie Richardson,1996,IND,played,WI,,0,,0,,0,,0
25, Lahore,Final,AUS,SL,241.0,7.0,245.0,3.0,Aravinda de Silva,1996,PAK,played,SL,,0,,0,,0,,0
26, Eden Gardens,Semi-Final,SL,IND,251.0,8.0,120.0,8.0,Aravinda de Silva,1996,IND,played,SL,,0,,0,,0,,0
27, Chennai,League-Match,NZ,AUS,286.0,9.0,289.0,4.0,Mark Waugh,1996,IND,played,AUS,,0,,0,,0,,0
29, Bengaluru,League-Match,IND,PAK,287.0,8.0,248.0,9.0,Navjot Sidhu,1996,IND,played,IND,,0,,0,,0,,0
30, Gujranwala,League-Match,UAE,PAK,109.0,9.0,112.0,1.0,Mushtaq Ahmed,1996,PAK,played,PAK,,0,,0,,0,,0
31, Rawalpindi,League-Match,SA,NED,328.0,3.0,168.0,8.0,Andrew Hudson,1996,PAK,played,SA,,0,,0,,0,,0
32, Rawalpindi,League-Match,SA,ENG,230.0,0.0,152.0,0.0,Jonty Rhodes,1996,PAK,played,SA,,0,,0,,0,,0
33, Colombo (SSC),League-Match,ZIM,SL,228.0,6.0,229.0,4.0,Aravinda de Silva,1996,SL,played,SL,,0,,0,,0,,0
34, Lahore,League-Match,NED,PAK,145.0,7.0,151.0,2.0,Waqar Younis,1996,PAK,played,PAK,,0,,0,,0,,0
35, Lahore,League-Match,PAK,NZ,281.0,5.0,235.0,0.0,Saleem Malik,1996,PAK,played,PAK,,0,,0,,0,,0
36, Karachi,League-Match,ENG,PAK,249.0,9.0,250.0,3.0,Aamer Sohail,1996,PAK,played,PAK,,0,,0,,0,,0
38, Peshawar,League-Match,UAE,ENG,136.0,0.0,140.0,2.0,Neil Smith,1996,PAK,played,ENG,,0,,0,,0,,0
39, Karachi,League-Match,PAK,SA,242.0,6.0,243.0,5.0,Hansie Cronje,1996,PAK,played,SA,,0,,0,,0,,0
40, Patna,League-Match,KENYA,ZIM,134.0,0.0,137.0,5.0,Paul Strang,1996,IND,played,ZIM,,0,,0,,0,,0
41, Faisalabad,League-Match,NZ,SA,177.0,9.0,178.0,5.0,Hansie Cronje,1996,PAK,played,SA,,0,,0,,0,,0
42, Kandy,League-Match,SL,KENYA,398.0,5.0,254.0,7.0,Aravinda de Silva,1996,IND,played,SL,,0,,0,,0,,0
43, Gwalior,League-Match,WI,IND,173.0,0.0,174.0,5.0,Sachin Tendulkar,1996,IND,played,IND,,0,,0,,0,,0
44, Ahmedabad,League-Match,NZ,ENG,239.0,6.0,228.0,9.0,Nathan Astle,1996,IND,played,NZ,,0,,0,,0,,0
45, Delhi,League-Match,IND,SL,271.0,3.0,272.0,4.0,Sanath Jayasuriya,1996,IND,played,SL,,0,,0,,0,,0
46, Hyderabad (Deccan),League-Match,ZIM,WI,151.0,9.0,155.0,4.0,Curtly Ambrose,1996,IND,played,WI,,0,,0,,0,,0
47, Kanpur,League-Match,IND,ZIM,247.0,5.0,207.0,0.0,Ajay Jadeja,1996,IND,played,IND,,0,,0,,0,,0
48, Wankhede,League-Match,AUS,IND,258.0,0.0,242.0,0.0,Mark Waugh,1996,IND,played,AUS,,0,,0,,0,,0
49, Gwalior,League-Match,WI,IND,173.0,0.0,174.0,5.0,Sachin Tendulkar,1996,IND,played,IND,,0,,0,,0,,0
